playerID,year,stint,tmID,dRebounds,dq,pos,height,weight,college,birthYear,award,confID,rank,playoff,firstRound,semis,finals,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,attend,W,L,PER,TS%,eFG%,stocks
beardal01w,5,0,WAS,115,0,G-F,71.0,160,1,1982,[],EA,4,1,010,001,001,17,17,11,6,6,11,9,11,6850,214448,1.0,2.0,21.473025688868667,50.04937606607416,44.60526315789474,103
beardal01w,6,0,WAS,105,0,G-F,71.0,160,1,1982,[],EA,5,0,001,001,001,16,18,10,7,6,11,9,11,6900,171501,0.0,0.0,19.329866069316356,46.455306032584765,41.911764705882355,54
beardal01w,7,0,WAS,126,4,G-F,71.0,160,1,1982,[],EA,4,1,010,001,001,18,16,13,4,5,12,12,8,6850,133255,0.0,2.0,26.923494856932273,57.430410056869206,53.41151385927505,84
beardal01w,8,0,WAS,114,2,G-F,71.0,160,1,1982,[],EA,5,0,001,001,001,16,18,8,9,8,9,8,12,6900,133255,0.0,0.0,22.50773432849191,51.404958677685954,45.91836734693878,88
beardal01w,9,0,WAS,114,2,G-F,71.0,160,1,1982,[],EA,6,0,001,001,001,10,24,6,11,4,13,6,14,6825,154637,0.0,0.0,17.123832813003837,49.42033293697978,44.83122362869199,74
beardal01w,10,0,WAS,104,2,G-F,71.0,160,1,1982,[],EA,4,1,010,001,001,16,18,11,6,5,12,10,12,6875,192747,0.0,2.0,18.17566031228432,50.393313667649956,46.57534246575342,90
beckki01w,9,0,SEA,10,0,G,68.0,125,1,1985,[],WE,2,1,010,001,001,22,12,16,1,6,11,13,7,6800,140503,1.0,2.0,10.767465710915337,73.02405498281786,66.66666666666666,6
bennije01w,6,0,IND,3,0,F,75.0,185,1,1981,[],EA,2,1,100,010,001,21,13,14,3,7,10,14,6,6925,142494,2.0,2.0,8.10362514420611,46.10655737704918,37.5,2
berezva01w,9,0,SAS,0,0,C,76.0,0,1,1986,[],WE,1,1,100,100,010,24,10,15,2,9,8,10,10,6850,135722,4.0,5.0,0.0,0.0,0.0,0
berthlu01w,3,0,CLE,1,0,F-C,74.0,188,1,1978,[],EA,7,0,001,001,001,10,22,4,12,6,10,7,14,6550,149084,0.0,0.0,27.673649742941404,45.662100456621005,42.857142857142854,0
berthlu01w,4,0,CLE,22,0,F-C,74.0,188,1,1978,[],EA,4,1,010,001,001,17,17,11,6,6,11,13,11,6825,125793,1.0,2.0,22.864861003191677,58.139534883720934,51.92307692307693,14
berthlu01w,5,0,HOU,15,1,F-C,74.0,188,1,1978,[],WE,6,0,001,001,001,13,21,9,8,4,13,7,15,6850,137455,0.0,0.0,15.580378372334508,44.13167938931298,35.294117647058826,8
beviltu01w,1,0,POR,76,1,G,67.0,145,0,1972,[],WE,7,0,001,001,001,10,22,6,10,4,12,4,17,6525,133076,0.0,0.0,8.562479730217346,53.24331848552338,43.30357142857143,47
